"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.688824805138059,0.437485055788868,0.76374479856768,0.0763818820798576,0.120917600190634,0.0797802737156958,"DMS","ACCESS1-0","winter","rf"
4,"gini",1,0.690022532314471,0.44280970264037,0.756583307108625,0.0852452675537603,0.180899280377654,0.111937887475178,"DMS","ACCESS1-0","winter","rf"
5,"gini",1,0.689997741281967,0.468199984000458,0.741815032975927,0.0864141961190766,0.173164337746512,0.106091743180982,"DMS","ACCESS1-0","winter","rf"
