"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.659473751348029,0.280281619720279,0.875534531228962,0.036287407895705,0.0777274949412909,0.0229028785163602,"SES","BCC-CSM1.1","winter","rf"
4,"gini",1,0.658321603968046,0.286358851287899,0.868474479700932,0.0368494868080735,0.0811690024616489,0.0231183394829385,"SES","BCC-CSM1.1","winter","rf"
5,"gini",1,0.653921226356482,0.280657227066751,0.873510947227553,0.0373114447939077,0.0701585151738691,0.0201575295456323,"SES","BCC-CSM1.1","winter","rf"
