"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.715103922481689,0.411538039734427,0.886979209701455,0.0279221453842785,0.0608987642343968,0.0444920333378226,"WCP","GISS-E2-H-CC","summer","rf"
4,"gini",1,0.714918920434922,0.41329994265623,0.881926849333873,0.0248013685855513,0.0685474676048859,0.0433103625852549,"WCP","GISS-E2-H-CC","summer","rf"
5,"gini",1,0.715386084677187,0.430175545253131,0.866864548317621,0.0254618399417603,0.0922707255006279,0.0528502208063144,"WCP","GISS-E2-H-CC","summer","rf"
