"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.653079950658794,0.247209936875211,0.870172233794454,0.0792616688332937,0.128224456651215,0.0703592337040608,"LMS","ACCESS1-0","winter","rf"
4,"gini",1,0.647347255410359,0.229073377599429,0.877307900773197,0.0813837929465754,0.119874626337569,0.0672819854629996,"LMS","ACCESS1-0","winter","rf"
5,"gini",1,0.643480572646755,0.236569045531521,0.875418397820357,0.0864200008638538,0.110358499542166,0.0611623337851898,"LMS","ACCESS1-0","winter","rf"
