"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.758111970231511,0.552138537126565,0.788070753204349,0.0942247648783344,0.250932237545032,0.157405406321802,"SRP","EC-EARTH","summer","rf"
4,"gini",1,0.744332634626797,0.56495876693947,0.747297701905966,0.111312730618521,0.280845472162254,0.244526265721917,"SRP","EC-EARTH","summer","rf"
5,"gini",1,0.72612788761995,0.501214060905601,0.790278919080877,0.134046695133533,0.258930319615005,0.207010103030889,"SRP","EC-EARTH","summer","rf"
