"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.799885213979515,0.422511328397011,0.93121312425978,0.0711006336251637,0.0981337760497519,0.0413852485465683,"ORC","MIROC-ESM","summer","rf"
4,"gini",1,0.808254814466342,0.415954639675175,0.938923215078372,0.0585484519586602,0.0738890288209756,0.0419856112135869,"ORC","MIROC-ESM","summer","rf"
5,"gini",1,0.808936663212879,0.415773584925458,0.935158438287559,0.0593306965366092,0.0498690976584524,0.0393444198834634,"ORC","MIROC-ESM","summer","rf"
