"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.885712872761073,0.745728115662717,0.84785873507859,0.00989184517655149,0.114668802133801,0.0973469463830746,"IYA","CanESM2","winter","rf"
4,"gini",1,0.879537194446042,0.7309089746157,0.849003154406211,0.0143395831926934,0.112485738001256,0.0806131868858433,"IYA","CanESM2","winter","rf"
5,"gini",1,0.87397630346975,0.703570181443716,0.861825627450127,0.0229582438297766,0.109037310183128,0.0868567151135243,"IYA","CanESM2","winter","rf"
