"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.662996543769394,0.298593790321492,0.883265422120576,0.0932252923347005,0.159103689546626,0.0393057725504118,"SES","CMCC-CM","summer","rf"
4,"gini",1,0.661925054849888,0.30813965410704,0.87795362380505,0.0828894418780128,0.172551938107357,0.0564353875991122,"SES","CMCC-CM","summer","rf"
5,"gini",1,0.663283132005469,0.306885485403806,0.865123868876464,0.0807899690332446,0.154524007141065,0.0479168402273844,"SES","CMCC-CM","summer","rf"
