"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.72806763390769,0.51669331615403,0.822942931075116,0.0926056031847367,0.256060814220915,0.113362427676207,"LMS","GISS-E2-H-CC","summer","rf"
4,"gini",1,0.716345368644895,0.500869995738747,0.843377653020367,0.115639020882068,0.246616102007962,0.0793982823657811,"LMS","GISS-E2-H-CC","summer","rf"
5,"gini",1,0.722848575016216,0.460262784720112,0.846823651508849,0.102057464983486,0.262376104730453,0.0728042253564352,"LMS","GISS-E2-H-CC","summer","rf"
