"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.653660102100309,0.439755177365521,0.721488054734251,0.030692790795036,0.111124723901026,0.0687885778361255,"WAB","CanESM2","summer","rf"
4,"gini",1,0.645042077732172,0.37192287337977,0.780307633809311,0.041858707665524,0.0800412657499728,0.0307670660471577,"WAB","CanESM2","summer","rf"
5,"gini",1,0.644952992942377,0.352531664423059,0.78891792096746,0.0373835173575663,0.0889398299923141,0.04891223340908,"WAB","CanESM2","summer","rf"
