"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.674585247253418,0.388961146577889,0.859495779632042,0.0650328937087074,0.0786645208952986,0.0437233839523314,"DMS","CMCC-CM","summer","rf"
4,"gini",1,0.67870233559906,0.373531092518369,0.858356908909396,0.0599224883465292,0.0755312636527358,0.055263116258741,"DMS","CMCC-CM","summer","rf"
5,"gini",1,0.677882519200428,0.391182961645225,0.851711736787632,0.0578411689493038,0.0881497508918153,0.0580370991730648,"DMS","CMCC-CM","summer","rf"
