"mtry","splitrule","min.node.size","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
3,"gini",1,0.633568920364483,0.402289995568342,0.74574099077075,0.0606506372471192,0.119811698227471,0.0831685034456876,"WAB","BCC-CSM1.1","summer","rf"
4,"gini",1,0.631098465750642,0.325760256927869,0.805424042935699,0.0588232372235739,0.137403852243194,0.0859581867833942,"WAB","BCC-CSM1.1","summer","rf"
5,"gini",1,0.629994561687767,0.383308529985698,0.749638925127135,0.0514277435634513,0.103289588488167,0.0576419576415566,"WAB","BCC-CSM1.1","summer","rf"
