"Overall","variable","sp","season","climate","method"
NA,"SST","SRP","winter","GISS-E2-H-CC","gam"
NA,"WINu","SRP","winter","GISS-E2-H-CC","gam"
NA,"WINv","SRP","winter","GISS-E2-H-CC","gam"
NA,"WIN","SRP","winter","GISS-E2-H-CC","gam"
NA,"SSTg","SRP","winter","GISS-E2-H-CC","gam"
NA,"CURu","SRP","winter","GISS-E2-H-CC","gam"
NA,"CURv","SRP","winter","GISS-E2-H-CC","gam"
NA,"CUR","SRP","winter","GISS-E2-H-CC","gam"
NA,"DEP","SRP","winter","GISS-E2-H-CC","gam"
