"Overall","variable","sp","season","climate","method"
NA,"CURv","SFS","summer","CMCC-CM","gam"
NA,"SST","SFS","summer","CMCC-CM","gam"
NA,"SSH","SFS","summer","CMCC-CM","gam"
NA,"SSHg","SFS","summer","CMCC-CM","gam"
NA,"SSTg","SFS","summer","CMCC-CM","gam"
NA,"CURu","SFS","summer","CMCC-CM","gam"
NA,"CUR","SFS","summer","CMCC-CM","gam"
NA,"WINv","SFS","summer","CMCC-CM","gam"
NA,"WINu","SFS","summer","CMCC-CM","gam"
NA,"WIN","SFS","summer","CMCC-CM","gam"
NA,"DEP","SFS","summer","CMCC-CM","gam"
