"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","AFS","summer","CMCC-CM","svm"
64.0069235380462,64.0069235380462,"SST","AFS","summer","CMCC-CM","svm"
42.7148565357998,42.7148565357998,"WINu","AFS","summer","CMCC-CM","svm"
31.047831806631,31.047831806631,"WINv","AFS","summer","CMCC-CM","svm"
46.0851570378821,46.0851570378821,"WIN","AFS","summer","CMCC-CM","svm"
10.8794326516407,10.8794326516407,"CURu","AFS","summer","CMCC-CM","svm"
36.0002496930877,36.0002496930877,"CURv","AFS","summer","CMCC-CM","svm"
10.24391837176,10.24391837176,"CUR","AFS","summer","CMCC-CM","svm"
94.2921295582938,94.2921295582938,"SSH","AFS","summer","CMCC-CM","svm"
21.8967583163301,21.8967583163301,"SSHg","AFS","summer","CMCC-CM","svm"
100,100,"SSTg","AFS","summer","CMCC-CM","svm"
53.934741117686,53.934741117686,"DEP","AFS","summer","CMCC-CM","svm"
