"Overall","variable","sp","season","climate","method"
NA,"WINu","DMS","summer","BCC-CSM1.1","gam"
NA,"WINv","DMS","summer","BCC-CSM1.1","gam"
NA,"WIN","DMS","summer","BCC-CSM1.1","gam"
NA,"CURu","DMS","summer","BCC-CSM1.1","gam"
NA,"CURv","DMS","summer","BCC-CSM1.1","gam"
NA,"CUR","DMS","summer","BCC-CSM1.1","gam"
NA,"SST","DMS","summer","BCC-CSM1.1","gam"
NA,"SSH","DMS","summer","BCC-CSM1.1","gam"
NA,"SSHg","DMS","summer","BCC-CSM1.1","gam"
NA,"SSTg","DMS","summer","BCC-CSM1.1","gam"
NA,"DEP","DMS","summer","BCC-CSM1.1","gam"
