"Overall","variable","sp","season","climate","method"
NA,"WINu","WAB","winter","ACCESS1-0","gam"
NA,"WINv","WAB","winter","ACCESS1-0","gam"
NA,"WIN","WAB","winter","ACCESS1-0","gam"
0,"CURv","WAB","winter","ACCESS1-0","gam"
0,"CURu","WAB","winter","ACCESS1-0","gam"
NA,"CUR","WAB","winter","ACCESS1-0","gam"
NA,"SST","WAB","winter","ACCESS1-0","gam"
NA,"SSH","WAB","winter","ACCESS1-0","gam"
0,"SSHg","WAB","winter","ACCESS1-0","gam"
NA,"SSTg","WAB","winter","ACCESS1-0","gam"
NA,"DEP","WAB","winter","ACCESS1-0","gam"
