"Overall","variable","sp","season","climate","method"
NA,"WINu","SES","winter","BCC-CSM1.1","gam"
NA,"WIN","SES","winter","BCC-CSM1.1","gam"
NA,"WINv","SES","winter","BCC-CSM1.1","gam"
NA,"DEP","SES","winter","BCC-CSM1.1","gam"
NA,"CURu","SES","winter","BCC-CSM1.1","gam"
NA,"CUR","SES","winter","BCC-CSM1.1","gam"
NA,"CURv","SES","winter","BCC-CSM1.1","gam"
NA,"SSTg","SES","winter","BCC-CSM1.1","gam"
NA,"SST","SES","winter","BCC-CSM1.1","gam"
NA,"SSHg","SES","winter","BCC-CSM1.1","gam"
NA,"SSH","SES","winter","BCC-CSM1.1","gam"
