"Overall","variable","sp","season","climate","method"
NA,"WINu","SRP","summer","ACCESS1-0","gam"
NA,"WINv","SRP","summer","ACCESS1-0","gam"
NA,"WIN","SRP","summer","ACCESS1-0","gam"
NA,"SST","SRP","summer","ACCESS1-0","gam"
NA,"SSH","SRP","summer","ACCESS1-0","gam"
NA,"SSHg","SRP","summer","ACCESS1-0","gam"
NA,"SSTg","SRP","summer","ACCESS1-0","gam"
NA,"CURu","SRP","summer","ACCESS1-0","gam"
NA,"CURv","SRP","summer","ACCESS1-0","gam"
NA,"CUR","SRP","summer","ACCESS1-0","gam"
NA,"DEP","SRP","summer","ACCESS1-0","gam"
