"Overall","variable","sp","season","climate","method"
NA,"WINu","SFS","winter","NorESM1-M","gam"
NA,"WINv","SFS","winter","NorESM1-M","gam"
NA,"WIN","SFS","winter","NorESM1-M","gam"
NA,"DEP","SFS","winter","NorESM1-M","gam"
NA,"SST","SFS","winter","NorESM1-M","gam"
NA,"SSTg","SFS","winter","NorESM1-M","gam"
NA,"SSH","SFS","winter","NorESM1-M","gam"
NA,"SSHg","SFS","winter","NorESM1-M","gam"
NA,"CURu","SFS","winter","NorESM1-M","gam"
NA,"CURv","SFS","winter","NorESM1-M","gam"
NA,"CUR","SFS","winter","NorESM1-M","gam"
