"Overall","variable","sp","season","climate","method"
NA,"WINu","KIN","winter","CanESM2","gam"
NA,"WINv","KIN","winter","CanESM2","gam"
NA,"WIN","KIN","winter","CanESM2","gam"
NA,"CURu","KIN","winter","CanESM2","gam"
NA,"CURv","KIN","winter","CanESM2","gam"
NA,"CUR","KIN","winter","CanESM2","gam"
NA,"SSTg","KIN","winter","CanESM2","gam"
NA,"SST","KIN","winter","CanESM2","gam"
NA,"SSH","KIN","winter","CanESM2","gam"
NA,"SSHg","KIN","winter","CanESM2","gam"
NA,"DEP","KIN","winter","CanESM2","gam"
