"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","WCP","summer","EC-EARTH","svm"
99.6972941966787,99.6972941966787,"SST","WCP","summer","EC-EARTH","svm"
100,100,"WINu","WCP","summer","EC-EARTH","svm"
90.6488467778647,90.6488467778647,"WINv","WCP","summer","EC-EARTH","svm"
96.0428800444397,96.0428800444397,"WIN","WCP","summer","EC-EARTH","svm"
76.7034647208479,76.7034647208479,"CURu","WCP","summer","EC-EARTH","svm"
49.8441965917178,49.8441965917178,"CURv","WCP","summer","EC-EARTH","svm"
14.028630390019,14.028630390019,"CUR","WCP","summer","EC-EARTH","svm"
85.4937965451924,85.4937965451924,"SSH","WCP","summer","EC-EARTH","svm"
23.4663940370587,23.4663940370587,"SSHg","WCP","summer","EC-EARTH","svm"
19.6319984531299,19.6319984531299,"SSTg","WCP","summer","EC-EARTH","svm"
45.2277496976775,45.2277496976775,"DEP","WCP","summer","EC-EARTH","svm"
