"Overall","variable","sp","season","climate","method"
NA,"SSH","SES","winter","CMCC-CM","gam"
NA,"SST","SES","winter","CMCC-CM","gam"
NA,"SSHg","SES","winter","CMCC-CM","gam"
NA,"SSTg","SES","winter","CMCC-CM","gam"
NA,"CURv","SES","winter","CMCC-CM","gam"
NA,"CURu","SES","winter","CMCC-CM","gam"
NA,"DEP","SES","winter","CMCC-CM","gam"
NA,"CUR","SES","winter","CMCC-CM","gam"
NA,"WINv","SES","winter","CMCC-CM","gam"
NA,"WINu","SES","winter","CMCC-CM","gam"
NA,"WIN","SES","winter","CMCC-CM","gam"
