"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","MAC","summer","ACCESS1-0","svm"
73.7797635638402,73.7797635638402,"SST","MAC","summer","ACCESS1-0","svm"
32.3901444104508,32.3901444104508,"WINu","MAC","summer","ACCESS1-0","svm"
14.1853175697682,14.1853175697682,"WINv","MAC","summer","ACCESS1-0","svm"
36.0335920688903,36.0335920688903,"WIN","MAC","summer","ACCESS1-0","svm"
65.0687793045635,65.0687793045635,"CURu","MAC","summer","ACCESS1-0","svm"
25.5137448210071,25.5137448210071,"CURv","MAC","summer","ACCESS1-0","svm"
65.1400131048442,65.1400131048442,"CUR","MAC","summer","ACCESS1-0","svm"
100,100,"SSH","MAC","summer","ACCESS1-0","svm"
77.1121214024562,77.1121214024562,"SSHg","MAC","summer","ACCESS1-0","svm"
86.7842268548033,86.7842268548033,"SSTg","MAC","summer","ACCESS1-0","svm"
59.1422497291067,59.1422497291067,"DEP","MAC","summer","ACCESS1-0","svm"
