"Overall","variable","sp","season","climate","method"
NA,"WINu","AFS","winter","CanESM2","gam"
NA,"WINv","AFS","winter","CanESM2","gam"
NA,"WIN","AFS","winter","CanESM2","gam"
NA,"SSTg","AFS","winter","CanESM2","gam"
NA,"SST","AFS","winter","CanESM2","gam"
NA,"SSH","AFS","winter","CanESM2","gam"
NA,"SSHg","AFS","winter","CanESM2","gam"
NA,"CURu","AFS","winter","CanESM2","gam"
NA,"CURv","AFS","winter","CanESM2","gam"
NA,"CUR","AFS","winter","CanESM2","gam"
NA,"DEP","AFS","winter","CanESM2","gam"
