"Overall","variable","sp","season","climate","method"
NA,"CURu","MAC","summer","CMCC-CM","gam"
NA,"CURv","MAC","summer","CMCC-CM","gam"
NA,"SST","MAC","summer","CMCC-CM","gam"
NA,"SSH","MAC","summer","CMCC-CM","gam"
NA,"SSHg","MAC","summer","CMCC-CM","gam"
NA,"SSTg","MAC","summer","CMCC-CM","gam"
NA,"CUR","MAC","summer","CMCC-CM","gam"
NA,"WINu","MAC","summer","CMCC-CM","gam"
NA,"WINv","MAC","summer","CMCC-CM","gam"
NA,"WIN","MAC","summer","CMCC-CM","gam"
NA,"DEP","MAC","summer","CMCC-CM","gam"
