"Overall","variable","sp","season","climate","method"
NA,"WINu","SES","summer","MIROC-ESM","gam"
NA,"WINv","SES","summer","MIROC-ESM","gam"
NA,"WIN","SES","summer","MIROC-ESM","gam"
NA,"CURu","SES","summer","MIROC-ESM","gam"
0,"CURv","SES","summer","MIROC-ESM","gam"
NA,"CUR","SES","summer","MIROC-ESM","gam"
NA,"SST","SES","summer","MIROC-ESM","gam"
NA,"SSH","SES","summer","MIROC-ESM","gam"
NA,"SSHg","SES","summer","MIROC-ESM","gam"
NA,"SSTg","SES","summer","MIROC-ESM","gam"
NA,"DEP","SES","summer","MIROC-ESM","gam"
