"Overall","variable","sp","season","climate","method"
NA,"SST","WAB","winter","CMCC-CM","gam"
NA,"SSH","WAB","winter","CMCC-CM","gam"
NA,"SSHg","WAB","winter","CMCC-CM","gam"
NA,"SSTg","WAB","winter","CMCC-CM","gam"
NA,"CURu","WAB","winter","CMCC-CM","gam"
NA,"CURv","WAB","winter","CMCC-CM","gam"
NA,"CUR","WAB","winter","CMCC-CM","gam"
NA,"WINv","WAB","winter","CMCC-CM","gam"
NA,"WINu","WAB","winter","CMCC-CM","gam"
NA,"WIN","WAB","winter","CMCC-CM","gam"
NA,"DEP","WAB","winter","CMCC-CM","gam"
