"Overall","variable","sp","season","climate","method"
0,"WINu","AFS","summer","MIROC-ESM","gam"
NA,"WINv","AFS","summer","MIROC-ESM","gam"
NA,"WIN","AFS","summer","MIROC-ESM","gam"
0,"CURu","AFS","summer","MIROC-ESM","gam"
NA,"CURv","AFS","summer","MIROC-ESM","gam"
0,"CUR","AFS","summer","MIROC-ESM","gam"
NA,"SST","AFS","summer","MIROC-ESM","gam"
NA,"SSH","AFS","summer","MIROC-ESM","gam"
NA,"SSHg","AFS","summer","MIROC-ESM","gam"
NA,"SSTg","AFS","summer","MIROC-ESM","gam"
NA,"DEP","AFS","summer","MIROC-ESM","gam"
