"Overall","variable","sp","season","climate","method"
0,"WINu","NGP","winter","CanESM2","gam"
0,"WINv","NGP","winter","CanESM2","gam"
0,"WIN","NGP","winter","CanESM2","gam"
0,"CURu","NGP","winter","CanESM2","gam"
NA,"CURv","NGP","winter","CanESM2","gam"
0,"CUR","NGP","winter","CanESM2","gam"
0,"SSTg","NGP","winter","CanESM2","gam"
NA,"SST","NGP","winter","CanESM2","gam"
NA,"SSH","NGP","winter","CanESM2","gam"
NA,"SSHg","NGP","winter","CanESM2","gam"
NA,"DEP","NGP","winter","CanESM2","gam"
