"Overall","variable","sp","season","climate","method"
NA,"WINu","KIN","winter","NorESM1-M","gam"
NA,"WINv","KIN","winter","NorESM1-M","gam"
NA,"WIN","KIN","winter","NorESM1-M","gam"
NA,"DEP","KIN","winter","NorESM1-M","gam"
NA,"CURv","KIN","winter","NorESM1-M","gam"
NA,"CURu","KIN","winter","NorESM1-M","gam"
NA,"SST","KIN","winter","NorESM1-M","gam"
NA,"SSH","KIN","winter","NorESM1-M","gam"
NA,"SSHg","KIN","winter","NorESM1-M","gam"
NA,"SSTg","KIN","winter","NorESM1-M","gam"
NA,"CUR","KIN","winter","NorESM1-M","gam"
