"Overall","variable","sp","season","climate","method"
NA,"WINu","SFS","summer","CanESM2","gam"
NA,"WINv","SFS","summer","CanESM2","gam"
NA,"WIN","SFS","summer","CanESM2","gam"
NA,"CURu","SFS","summer","CanESM2","gam"
NA,"CURv","SFS","summer","CanESM2","gam"
NA,"CUR","SFS","summer","CanESM2","gam"
NA,"SST","SFS","summer","CanESM2","gam"
NA,"SSH","SFS","summer","CanESM2","gam"
NA,"SSHg","SFS","summer","CanESM2","gam"
NA,"SSTg","SFS","summer","CanESM2","gam"
NA,"DEP","SFS","summer","CanESM2","gam"
