"Overall","variable","sp","season","climate","method"
NA,"SST","SRP","summer","GISS-E2-H-CC","gam"
NA,"WINu","SRP","summer","GISS-E2-H-CC","gam"
NA,"WINv","SRP","summer","GISS-E2-H-CC","gam"
NA,"WIN","SRP","summer","GISS-E2-H-CC","gam"
NA,"SSTg","SRP","summer","GISS-E2-H-CC","gam"
NA,"CURu","SRP","summer","GISS-E2-H-CC","gam"
NA,"CURv","SRP","summer","GISS-E2-H-CC","gam"
NA,"CUR","SRP","summer","GISS-E2-H-CC","gam"
NA,"DEP","SRP","summer","GISS-E2-H-CC","gam"
