"Overall","variable","sp","season","climate","method"
NA,"SST","MAC","winter","GISS-E2-H-CC","gam"
NA,"WINu","MAC","winter","GISS-E2-H-CC","gam"
NA,"WINv","MAC","winter","GISS-E2-H-CC","gam"
NA,"WIN","MAC","winter","GISS-E2-H-CC","gam"
NA,"SSTg","MAC","winter","GISS-E2-H-CC","gam"
NA,"CURv","MAC","winter","GISS-E2-H-CC","gam"
NA,"CURu","MAC","winter","GISS-E2-H-CC","gam"
NA,"CUR","MAC","winter","GISS-E2-H-CC","gam"
NA,"DEP","MAC","winter","GISS-E2-H-CC","gam"
