"Overall","variable","sp","season","climate","method"
NA,"SSH","MAC","winter","CMCC-CM","gam"
NA,"SSHg","MAC","winter","CMCC-CM","gam"
NA,"SST","MAC","winter","CMCC-CM","gam"
NA,"SSTg","MAC","winter","CMCC-CM","gam"
NA,"CURu","MAC","winter","CMCC-CM","gam"
NA,"CURv","MAC","winter","CMCC-CM","gam"
NA,"CUR","MAC","winter","CMCC-CM","gam"
NA,"WINv","MAC","winter","CMCC-CM","gam"
NA,"WINu","MAC","winter","CMCC-CM","gam"
NA,"WIN","MAC","winter","CMCC-CM","gam"
NA,"DEP","MAC","winter","CMCC-CM","gam"
