"Overall","variable","sp","season","climate","method"
NA,"WINu","SFS","summer","EC-EARTH","gam"
NA,"WINv","SFS","summer","EC-EARTH","gam"
NA,"WIN","SFS","summer","EC-EARTH","gam"
NA,"SST","SFS","summer","EC-EARTH","gam"
NA,"CURu","SFS","summer","EC-EARTH","gam"
NA,"CURv","SFS","summer","EC-EARTH","gam"
NA,"CUR","SFS","summer","EC-EARTH","gam"
NA,"SSH","SFS","summer","EC-EARTH","gam"
NA,"SSHg","SFS","summer","EC-EARTH","gam"
NA,"SSTg","SFS","summer","EC-EARTH","gam"
NA,"DEP","SFS","summer","EC-EARTH","gam"
