"Overall","variable","sp","season","climate","method"
NA,"WINu","WAB","winter","MIROC-ESM","gam"
NA,"WINv","WAB","winter","MIROC-ESM","gam"
NA,"WIN","WAB","winter","MIROC-ESM","gam"
NA,"CURu","WAB","winter","MIROC-ESM","gam"
NA,"CURv","WAB","winter","MIROC-ESM","gam"
NA,"CUR","WAB","winter","MIROC-ESM","gam"
NA,"SSH","WAB","winter","MIROC-ESM","gam"
NA,"SST","WAB","winter","MIROC-ESM","gam"
NA,"SSHg","WAB","winter","MIROC-ESM","gam"
NA,"SSTg","WAB","winter","MIROC-ESM","gam"
NA,"DEP","WAB","winter","MIROC-ESM","gam"
