"Overall","variable","sp","season","climate","method"
NA,"WINu","SES","winter","NorESM1-M","gam"
NA,"WINv","SES","winter","NorESM1-M","gam"
NA,"WIN","SES","winter","NorESM1-M","gam"
NA,"DEP","SES","winter","NorESM1-M","gam"
NA,"CURu","SES","winter","NorESM1-M","gam"
NA,"SST","SES","winter","NorESM1-M","gam"
NA,"SSTg","SES","winter","NorESM1-M","gam"
NA,"SSH","SES","winter","NorESM1-M","gam"
NA,"SSHg","SES","winter","NorESM1-M","gam"
NA,"CURv","SES","winter","NorESM1-M","gam"
NA,"CUR","SES","winter","NorESM1-M","gam"
