"Overall","variable","sp","season","climate","method"
NA,"WINu","SRP","summer","NorESM1-M","gam"
NA,"WINv","SRP","summer","NorESM1-M","gam"
NA,"WIN","SRP","summer","NorESM1-M","gam"
NA,"CURu","SRP","summer","NorESM1-M","gam"
NA,"SST","SRP","summer","NorESM1-M","gam"
NA,"SSH","SRP","summer","NorESM1-M","gam"
NA,"SSHg","SRP","summer","NorESM1-M","gam"
NA,"SSTg","SRP","summer","NorESM1-M","gam"
NA,"CURv","SRP","summer","NorESM1-M","gam"
NA,"CUR","SRP","summer","NorESM1-M","gam"
NA,"DEP","SRP","summer","NorESM1-M","gam"
