"Overall","variable","sp","season","climate","method"
NA,"WIN","SES","winter","MIROC-ESM","gam"
NA,"WINu","SES","winter","MIROC-ESM","gam"
NA,"WINv","SES","winter","MIROC-ESM","gam"
NA,"DEP","SES","winter","MIROC-ESM","gam"
NA,"CURu","SES","winter","MIROC-ESM","gam"
NA,"CUR","SES","winter","MIROC-ESM","gam"
NA,"CURv","SES","winter","MIROC-ESM","gam"
NA,"SSH","SES","winter","MIROC-ESM","gam"
NA,"SST","SES","winter","MIROC-ESM","gam"
NA,"SSHg","SES","winter","MIROC-ESM","gam"
NA,"SSTg","SES","winter","MIROC-ESM","gam"
