"Overall","variable","sp","season","climate","method"
NA,"WINu","ORC","summer","CanESM2","gam"
NA,"WINv","ORC","summer","CanESM2","gam"
NA,"WIN","ORC","summer","CanESM2","gam"
NA,"CURu","ORC","summer","CanESM2","gam"
NA,"CURv","ORC","summer","CanESM2","gam"
NA,"CUR","ORC","summer","CanESM2","gam"
NA,"SST","ORC","summer","CanESM2","gam"
NA,"SSH","ORC","summer","CanESM2","gam"
NA,"SSHg","ORC","summer","CanESM2","gam"
NA,"SSTg","ORC","summer","CanESM2","gam"
NA,"DEP","ORC","summer","CanESM2","gam"
