"Overall","variable","sp","season","climate","method"
NA,"WINu","SFS","winter","ACCESS1-0","gam"
NA,"WINv","SFS","winter","ACCESS1-0","gam"
NA,"WIN","SFS","winter","ACCESS1-0","gam"
NA,"CURu","SFS","winter","ACCESS1-0","gam"
NA,"CURv","SFS","winter","ACCESS1-0","gam"
NA,"CUR","SFS","winter","ACCESS1-0","gam"
NA,"SSHg","SFS","winter","ACCESS1-0","gam"
NA,"SST","SFS","winter","ACCESS1-0","gam"
NA,"SSH","SFS","winter","ACCESS1-0","gam"
NA,"SSTg","SFS","winter","ACCESS1-0","gam"
NA,"DEP","SFS","winter","ACCESS1-0","gam"
