"Overall","variable","sp","season","climate","method"
NA,"SST","IYA","winter","GISS-E2-H-CC","gam"
0,"WINu","IYA","winter","GISS-E2-H-CC","gam"
0,"WINv","IYA","winter","GISS-E2-H-CC","gam"
0,"WIN","IYA","winter","GISS-E2-H-CC","gam"
0,"SSTg","IYA","winter","GISS-E2-H-CC","gam"
0,"CURu","IYA","winter","GISS-E2-H-CC","gam"
0,"CURv","IYA","winter","GISS-E2-H-CC","gam"
0,"CUR","IYA","winter","GISS-E2-H-CC","gam"
NA,"DEP","IYA","winter","GISS-E2-H-CC","gam"
